Year,Anlagenart,Value
2018,Biomasse in Watt,965000.0
2018,Biomasse in Watt/EW,6.98
2018,Wasserkraft in Watt,20000.0
2018,Wasserkraft in Watt/EW,0.14
2018,Photovoltaik in Watt,46009000.0
2018,Photovoltaik in Watt/EW,333.0
2018,Gesamt in Watt,46994000.0
2018,Gesamt in Watt/EW,340.12
2019,Biomasse in Watt,1040000.0
2019,Biomasse in Watt/EW,7.5
2019,Wasserkraft in Watt,20000.0
2019,Wasserkraft in Watt/EW,0.14
2019,Photovoltaik in Watt,47596000.0
2019,Photovoltaik in Watt/EW,343.0
2019,Gesamt in Watt,48656000.0
2019,Gesamt in Watt/EW,350.64
2020,Biomasse in Watt,1040000.0
2020,Biomasse in Watt/EW,7.52
2020,Wasserkraft in Watt,20000.0
2020,Wasserkraft in Watt/EW,0.16
2020,Photovoltaik in Watt,49560000.0
2020,Photovoltaik in Watt/EW,359.0
2020,Gesamt in Watt,50620000.0
2020,Gesamt in Watt/EW,366.66
2021,Biomasse in Watt,1040000.0
2021,Biomasse in Watt/EW,7.3
2021,Wasserkraft in Watt,22000.0
2021,Wasserkraft in Watt/EW,0.16
2021,Photovoltaik in Watt,52918000.0
2021,Photovoltaik in Watt/EW,380.0
2021,Gesamt in Watt,53980000.0
2021,Gesamt in Watt/EW,387.62
2022,Biomasse in Watt,1040000.0
2022,Biomasse in Watt/EW,7.3
2022,Wasserkraft in Watt,22000.0
2022,Wasserkraft in Watt/EW,0.15
2022,Photovoltaik in Watt,57266000.0
2022,Photovoltaik in Watt/EW,402.0
2022,Gesamt in Watt,58322000.0
2022,Gesamt in Watt/EW,427.45
2023,Biomasse in Watt,1040000.0
2023,Biomasse in Watt/EW,7.24
2023,Wasserkraft in Watt,22000.0
2023,Wasserkraft in Watt/EW,0.15
2023,Photovoltaik in Watt,67540000.0
2023,Photovoltaik in Watt/EW,470.0
2023,Gesamt in Watt,68602000.0
2023,Gesamt in Watt/EW,477.39
